names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
Sheng Siong,1.220,1.230,-,20 Dec 2019,"1,849.35M",1.50B,41.31%,24.89M,0.05,-,SGD 1.16089,SGD 1.16038,-,-,-,-,-,-,-,-,"1,762.12M",436.34M,87.23M,-,-,-,-,764.43,83.79M,-,75.87M,-,-,-,-,Food & Drug Retailing / Food Retail & Distribution / 
DairyFarm USD,5.730,USD 5.870,-,20 Dec 2019,"7,940.37M",1.35B,22.21%,28.14M,0.05,-,USD 6.08283,USD 6.33063,-,-,-,-,-,-,-,278.607,"12,406.37M","8,664.10M",296.20M,-,-,-,-,"11,137.30",201.30M,-,65.00M,-,-,-,-,Food & Drug Retailing / Food Retail & Distribution / 
MM2 Asia,0.300,0.280,-,20 Dec 2019,325.59M,1.16B,48.90%,25.64M,0.02,-,SGD 0.23008,SGD 0.23008,-,-,-,-,-,-,-,86.930,530.01M,665.72M,18.57M,-,-,-,-,95.72,57.68M,-,19.14M,-,-,-,-,Cyclical Consumer Services / Entertainment Production / 
Synagie,0.106,0.108,-,20 Dec 2019,32.88M,304.48M,17.94%,139.05M,-0.04,-,SGD 0.14597,SGD 0.14597,-,-,-,-,-,-,-,-,25.35M,22.76M,7.53M,-,-,-,-,0.19,-6.83M,-,-7.70M,-,-,-,-,Telecommunications Services / Integrated Telecommunications Services / 
Frencken,0.895,0.910,-,20 Dec 2019,386.09M,424.27M,62.59%,56.61M,0.08,-,SGD 0.75379,SGD 0.75379,-,-,-,-,-,-,-,0.457,387.71M,463.74M,67.08M,-,-,-,-,439.38,40.16M,-,42.15M,-,-,-,-,Industrial Goods / Industrial Machinery & Equipment / 
TEE Intl,0.054,0.058,-,20 Dec 2019,37.59M,725.60M,23.90%,389.85M,-0.03,-,SGD 0.05652,SGD 0.05652,-,-,-,-,-,-,-,205.474,285.27M,653.19M,61.04M,-,-,-,-,261.71,-13.86M,-,-18.17M,-,-,-,-,Industrial & Commercial Services / Construction & Engineering / 
Oxley,0.350,0.350,-,20 Dec 2019,"1,457.77M",4.16B,16.94%,51.51M,0.03,-,SGD 0.33188,SGD 0.33188,-,-,-,-,-,-,-,149.157,"4,563.59M","6,193.92M",474.41M,-,-,-,-,981.36,274.41M,-,143.89M,-,-,-,-,Real Estate / Real Estate Development & Operations / 
Wing Tai,1.990,1.990,-,20 Dec 2019,"1,579.92M",768.50M,56.62%,8.48M,0.05,-,SGD 2.03519,SGD 2.03552,-,-,-,-,-,-,-,17.870,"1,989.71M","4,359.64M",217.33M,-,-,-,-,544.53,24.63M,-,51.46M,-,-,-,-,Real Estate / Real Estate Development & Operations / 
GSS Energy,0.087,0.084,-,20 Dec 2019,41.68M,496.16M,64.80%,185.47M,0.01,-,SGD 0.08393,SGD 0.08393,-,-,-,-,-,-,-,-,37.78M,76.93M,8.93M,-,-,-,-,93.81,2.81M,-,2.36M,-,-,-,-,Industrial Goods / Industrial Machinery & Equipment / 
Y Ventures,0.110,0.110,-,20 Dec 2019,25.26M,229.66M,32.08%,214.83M,-0.03,-,SGD 0.11421,SGD 0.11421,-,-,-,-,-,-,-,27.353,27.61M,13.31M,1.13M,-,-,-,-,12.11,-3.90M,-,-5.91M,-,-,-,-,Software & IT Services / Internet Services / 
Creative,2.940,2.950,-,20 Dec 2019,221.25M,70.40M,60.15%,1.45M,-0.27,-,SGD 3.25038,SGD 3.25038,-,-,-,-,-,-,-,-,75.29M,137.70M,107.77M,-,-,-,-,84.57,-6.48M,-,-4.59M,-,-,-,-,Technology Equipment / Computer Hardware / 
China Aviation,1.260,1.250,-,20 Dec 2019,"1,082.73M",860.18M,27.48%,10.37M,0.15,-,SGD 1.24209,SGD 1.2421,-,-,-,-,-,-,-,-,598.27M,"1,653.57M",357.69M,-,-,-,-,"8,987.49",33.06M,-,131.87M,-,-,-,-,Energy - Fossil Fuels / Oil & Gas Refining and Marketin / 
SingMedical,0.300,0.295,-,20 Dec 2019,142.49M,483.02M,40.65%,2.97M,0.03,-,SGD 0.34774,SGD 0.34774,-,-,-,-,-,-,-,8.950,140.40M,181.84M,20.01M,-,-,-,-,30.97,15.15M,-,12.94M,-,-,-,-,Healthcare Services / Healthcare Facilities & Services / 
HRnetGroup,0.615,0.620,-,20 Dec 2019,627.07M,1.01B,22.01%,7.10M,0.05,-,SGD 0.60599,SGD 0.60682,-,-,-,-,-,-,-,-,327.58M,415.31M,299.50M,-,-,-,-,356.01,65.17M,-,49.09M,-,-,-,-,Industrial & Commercial Services / Employment Services / 
G Invacom,0.155,0.148,-,20 Dec 2019,41.80M,271.66M,63.94%,199.39M,0.01,-,SGD 0.13494,SGD 0.13494,-,-,-,-,-,-,-,-,46.66M,94.09M,8.38M,-,-,-,-,129.11,2.08M,-,3.67M,-,-,-,-,Technology Equipment / Communications & Networking / 
United Engineers,2.700,2.700,-,20 Dec 2019,"1,721.31M",637.52M,46.16%,48.10M,0.09,-,SGD 2.67988,SGD 2.67715,-,-,-,-,-,-,-,37.799,"2,559.64M","3,621.67M",251.25M,-,-,-,-,851.19,55.00M,-,128.90M,-,-,-,-,Real Estate / Real Estate Development & Operations / 
Hong Leong Fin,2.640,2.640,-,20 Dec 2019,"1,182.83M",448.04M,39.29%,1.66M,0.26,-,SGD 2.67531,SGD 2.67531,-,-,-,-,-,-,-,-,-259.50M,"13,381.26M",-,-,-,-,-,-,-,-,115.45M,-,-,-,-,Banking & Investment Services / Corporate Financial Services / 
Boustead,0.765,0.780,-,20 Dec 2019,390.05M,498.07M,53.06%,5.50M,0.06,-,SGD 0.74853,SGD 0.75663,-,-,-,-,-,-,-,23.727,274.98M,884.33M,262.67M,-,-,-,-,486.65,66.14M,-,26.99M,-,-,-,-,Industrial & Commercial Services / Construction & Engineering / 
CNMC Goldmine,0.240,0.245,-,20 Dec 2019,99.88M,407.69M,45.15%,15.74M,0.01,-,SGD 0.28365,SGD 0.28365,-,-,-,-,-,-,-,1.737,76.69M,59.84M,17.91M,-,-,-,-,36.47,4.13M,-,7.38M,-,-,-,-,Mineral Resources / Gold / 
COSCO SHP SG,0.315,0.320,-,20 Dec 2019,716.56M,2.24B,45.34%,60.65M,0.0,-,SGD 0.30281,SGD 0.30281,-,-,-,-,-,-,-,28.817,822.08M,822.81M,72.81M,-,-,-,-,"3,519.77",24.03M,-,11.29M,-,-,-,-,Transportation / Marine Freight & Logistics / 
