name,openPrice,high_low,close,prevCloseDate,marketCap,sharesOutstanding,float,normalizedEPS,mthvwap,unadjVWAP,adjVWAP,peratio,price/Sales,price/CF,pricebookvalue,dividend,divident_5_yr_avg,debt,long term debt/equity,enterpriseValue,assets,cash,roe,roa,capEx,EBIT,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita
Star Pharm,0.145,0.160,-,30 Jun 2019,7.57M,46.83M,35.21%,0.05,0.60M,SGD 0.15308,SGD 0.15308,2.8419999999999996,0.12647851562499995,1.8967812499999996,0.254,-,-,-17.60M,-,-10.04M,272.85M,87.07M,8.349,5.049,-7.28M,-,48.99M,7.10M,2.931,2.37M,4.837,22.561,26.124,-
Sen Yue,0.021,0.018,-,30 Jun 2019,15.56M,864.28M,21.09%,0.00,2.81M,SGD 0.02018,SGD 0.02018,9.545666666666667,0.08847222222222223,3.7800000000000007,0.378,-,-,42.65M,9.65M,58.21M,118.21M,18.14M,4.763,1.739,-3.55M,-,240.82M,4.71M,1.956,1.90M,0.789,52.196,-,-
Challenger,0.530,0.570,-,30 Jun 2019,196.77M,345.21M,15.77%,0.06,2.66M,SGD 0.53531,SGD 0.53531,9.404245614035089,0.5317128347183749,8.178736842105264,2.139,5.439,6.184,-63.24M,-,-,130.96M,63.24M,22.108,15.420,-0.90M,-,320.17M,23.36M,7.296,19.45M,6.122,-3.641,2.597,-
Shangri-La HKD,9.690,11.240,-,30 Jun 2019,"39,874.09M",3.59B,30.04%,0.59,81.94M,HKD 10.8076,HKD 10.8076,22.81491397849462,1.5213891923921836,8.461384408602148,0.808,1.709,-,"31,827.38M",74.79M,"71,701.47M","13,170.65M","1,078.23M",2.993,1.369,-,-,"19,754.60M",180.51M,7.169,"1,513.49M",7.297,1.120,-15.541,-
Kingboard Copper,,0.600,-,30 Jun 2019,434.62M,722.50M,11.46%,0.01,1.27M,SGD 0.52192,SGD 0.52192,,,,0.915,-,-,-306.60M,-,-,"2,883.07M","1,773.84M",0.925,0.943,-18.48M,-,101.46M,35.26M,6.007,4.43M,4.673,4.572,42.904,-
Heeton,0.440,0.475,-,30 Jun 2019,154.45M,325.16M,30.49%,0.05,1.72M,SGD 0.4672,SGD 0.4672,8.030916666666666,2.3561388888888892,7.6285,0.368,1.263,1.419,249.20M,52.47M,410.26M,855.63M,68.35M,4.253,1.935,-104.79M,-,55.08M,8.68M,15.750,17.63M,29.422,24.741,-4.522,-
Annica,0.001,0.001,-,30 Jun 2019,16.17M,16.17B,76.83%,-0.00,3.27M,SGD 0.001,SGD 0.001,-,2.662,-,3.820,-,-,-0.78M,14.27M,15.39M,9.47M,2.35M,-96.302,-36.204,-0.21M,-,6.08M,-3.84M,-63.123,-4.05M,-66.480,-56.986,-,-
Design Studio,0.130,0.130,-,30 Jun 2019,33.83M,260.26M,9.60%,-0.09,0.29M,SGD 0.1753,SGD 0.1753,-,0.2,-,0.496,19.231,-,-8.81M,-,25.03M,161.55M,11.81M,-29.766,-15.789,-3.38M,-,168.79M,-21.68M,-12.865,-23.97M,-14.166,-1.067,-,-
Grand Venture,0.220,0.250,-,30 Jun 2019,58.56M,234.25M,27.60%,0.03,1.73M,SGD 0.2645,SGD 0.2645,-,-,-,2.901,-,-,21.91M,87.89M,80.47M,51.35M,2.47M,40.887,-,-5.28M,-,-,6.83M,-,-,-,-,-,-
Blumont,0.002,0.002,-,30 Jun 2019,55.14M,27.57B,15.79%,-0.00,30.21M,SGD 0.00236,SGD 0.00236,-,6.252444444444444,55.16266666666667,16.455,-,-,4.88M,151.23M,60.02M,12.32M,0.79M,-4.539,0.596,-0.50M,-,3.92M,0.63M,16.104,-0.14M,1.921,-38.374,-,-
Darco Water Tech,0.310,0.445,-,30 Jun 2019,41.76M,93.83M,15.50%,-0.02,0.02M,SGD 0.45539,SGD 0.45539,-,-,-,0.857,-,-,-19.26M,1.88M,22.49M,111.75M,27.61M,-4.867,-,-0.84M,-,-,-1.43M,-,-,-,-13.288,-,-
Top Global,0.180,0.180,-,30 Jun 2019,57.94M,321.38M,20.53%,-0.01,0.06M,SGD 0.16961,SGD 0.16961,-,0.726,8.345,0.227,-,-,-40.94M,5.61M,17.00M,455.56M,60.17M,-1.292,0.382,-2.48M,-,79.81M,5.40M,6.768,-3.36M,2.242,14.919,-,-
Raffles Edu,0.083,0.084,-,30 Jun 2019,122.51M,1.38B,41.76%,0.01,3.11M,SGD 0.10152,SGD 0.10152,19.43664705882353,1.2080779238754322,4.290611764705883,0.199,-,-,309.72M,27.53M,446.11M,"1,260.09M",46.13M,1.857,1.107,-23.74M,-,96.69M,-5.99M,-6.727,1.90M,14.433,-6.642,-17.933,-
OKH Global,0.017,0.023,-,30 Jun 2019,25.96M,1.13B,34.21%,0.00,13.80M,SGD 0.02012,SGD 0.02012,29.824652173913044,0.5949357277882799,22.89604347826087,0.286,-,-,154.59M,65.61M,182.93M,276.42M,6.43M,5.132,0.226,-0.07M,-,23.84M,11.28M,32.992,0.65M,2.710,-13.267,14.206,-
Pharmesis Intl,0.205,0.450,-,30 Jun 2019,10.34M,23.00M,27.90%,0.01,0.02M,SGD 0.22591,SGD 0.22591,18.083277777777777,0.164987037037037,3.461766666666666,0.567,-,-,-3.99M,-,6.36M,128.30M,34.72M,1.438,3.999,-4.74M,-,13.01M,6.88M,10.692,0.26M,7.864,-2.861,18.732,-
Japan Foods,0.480,0.455,-,30 Jun 2019,79.37M,173.62M,22.61%,0.03,0.24M,SGD 0.4431,SGD 0.4431,22.27410989010989,1.3187972467093347,10.520967032967034,2.373,4.615,4.097,-21.89M,-,57.48M,43.26M,21.89M,17.585,8.695,-3.88M,-,66.98M,6.52M,6.266,3.74M,5.590,1.998,-2.108,-
