names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
StarHub,1.330,1.340 - 1.250,1.31,apr_05_2020,"2,268.46M",1.73B,-,66.31M,0.11,-,SGD 1.39541,SGD 1.39568,12.86511111,1.0841141979999998,4.435444444,-,8.661888888999998,6.823111110999999,-,148.562,"3,354.76M","2,733.90M",117.60M,36.309,-,-229.50M,-,"2,330.60M",255.90M,10.976,186.40M,7.663,-0.521,-12.884,617.10M,Telecommunications Services / Wireless Telecommunications Services / 
Sembcorp Ind,1.500,1.600 - 1.550,1.57,apr_05_2020,"2,806.45M",1.79B,-,111.91M,0.14,-,SGD 1.99276,SGD 1.99129,10.781132078431371,0.2598789600153787,2.9481132078431367,0.408,3.0047169813725487,2.262264150980392,"9,309.00M",125.557,"12,115.45M","23,252.00M","1,995.00M",3.617,0.932,-934.00M,-,"9,619.00M",397.00M,4.179,247.00M,2.256,-2.442,-20.761,"1,349.00M",Utilities / Multiline Utilities / 
Frasers L&I Tr,0.805,0.870 - 0.800,0.865,apr_05_2020,"1,956.69M",2.26B,-,251.12M,0.1,-,SGD 1.15094,SGD 1.1507,8.745443786742692,8.218920065649534,-,0.981,7.708946745929825,-,"1,239.48M",44.496,"2,930.79M","3,718.89M",128.38M,10.647,6.546,-,-,216.07M,272.43M,112.294,201.74M,94.331,10.646,24.509,158.98M,Real Estate / Commercial REITs / 
CapitaR China Tr,1.060,1.190 - 1.120,1.19,apr_05_2020,"1,455.22M",1.22B,-,111.13M,0.16,-,SGD 1.44374,SGD 1.44144,7.12412173880702,5.191074479964914,7.997930434701756,0.768,7.66794782649123,6.292713043842107,"1,271.24M",64.07,"2,726.45M","3,805.65M",139.92M,9.654,4.909,-0.48M,-,238.19M,241.22M,101.276,165.42M,69.957,-2.186,-2.654,160.74M,Real Estate / Commercial REITs / 
Keppel Reit,0.885,0.940 - 0.910,0.93,apr_05_2020,"3,143.23M",3.38B,-,226.82M,0.03,-,SGD 1.19459,SGD 1.1941,25.47481914433333,16.983466496813886,20.517877661666667,0.667,4.654723403983333,4.449478723383333,"1,996.62M",42.698,"5,139.85M","7,449.36M",124.84M,2.488,1.86,-0.01M,-,164.05M,153.02M,93.273,119.93M,86.356,-6.06,-23.334,72.21M,Real Estate / Commercial REITs / 
DLC SG5xShort Sands,0.595,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Frasers Cpt Tr,1.640,2.190 - 2.110,2.18,apr_05_2020,"2,436.63M",1.12B,-,67.85M,0.22,-,SGD 2.65396,SGD 2.65347,9.536210988314606,9.931829537209946,9.933926337977528,0.983,-,3.9870068663146063,"1,037.96M",30.139,"3,463.34M","3,610.88M",13.10M,9.351,6.804,-0.03M,-,196.86M,84.71M,42.611,219.63M,111.567,0.069,1.471,120.66M,Real Estate / Commercial REITs / 
Mapletree NAC Tr,0.765,0.805 - 0.775,0.805,apr_05_2020,"2,691.05M",3.34B,-,295.73M,0.2,-,SGD 1.14156,SGD 1.14001,3.9627,6.446619140625,4.16638125,0.571,8.510625,6.2663062499999995,"2,746.92M",56.272,"5,380.12M","7,820.37M",178.83M,14.961,8.139,-1.43M,-,381.71M,231.29M,54.602,615.90M,161.496,5.468,6.972,278.05M,Real Estate / Diversified REITs / 
GLD US$,151.400,-,-,apr_05_2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Ascott Trust,0.735,0.795 - 0.765,0.775,apr_05_2020,"2,389.39M",3.08B,-,243.91M,0.14,-,SGD 1.12201,SGD 1.12328,7.98824050676129,4.016414036033006,9.715025319096773,0.561,8.596708860735482,5.802778480664515,"2,365.54M",53.701,"4,754.93M","7,422.79M",275.50M,5.386,3.398,-9.79M,-,514.96M,30.41M,5.905,196.52M,42.008,1.01,3.427,234.91M,Real Estate / Specialized REITs / 
