names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
ChinaSunsine,0.510,0.525 - 0.520,0.520,jan_25_2020,521.20M,983.39M,-,7.36M,0.13,-,SGD 0.51462,SGD 0.51462,5.655657142857143,0.8832783673469388,4.584171428571429,1.046,5.189,3.413,-247.33M,-,317.20M,"2,747.30M","1,038.60M",31.528,16.359,-129.74M,-,556.99M,711.58M,20.033,89.27M,16.027,12.887,51.241,132.83M,Chemicals / Specialty Chemicals / 
Zheneng Jinjiang,0.600,0.600 - 0.600,0.600,jan_25_2020,872.41M,1.45B,-,9.21M,0.06,-,SGD 0.75403,SGD 0.59828,9.896,1.353,4.854,0.763,8.500,-,"1,378.77M",92.999,"2,030.96M","14,594.17M",857.49M,11.055,2.999,"-2,439.92M",-,644.67M,748.31M,17.268,87.52M,14.052,11.929,12.451,252.48M,Industrial & Commercial Services / Environmental Services & Equipment / 
A-Smart,0.350,0.355 - 0.325,0.350,jan_25_2020,45.05M,128.73M,-,3.19M,-0.01,-,SGD 0.33185,SGD 0.33185,-,6.581705524049569,-,4.224,-,-,-4.17M,4.026,40.85M,14.86M,4.91M,-19.655,-15.531,-0.14M,-,7.05M,-2.49M,-30.901,-1.80M,-30.901,-28.292,-,-1.45M,Industrial & Commercial Services / Commercial Printing Services / 
ISDN,0.225,0.220 - 0.220,0.220,jan_25_2020,94.51M,429.57M,-,9.52M,0.03,-,SGD 0.21742,SGD 0.21745,15.980113636363637,0.34935433884297523,6.758181818181818,0.617,3.182,2.210,-10.78M,8.394,81.20M,283.10M,41.88M,7.808,4.453,-2.63M,-,282.83M,24.36M,6.882,5.81M,4.294,10.058,16.413,24.39M,Industrial Goods / Electrical Components & Equipment / 
Uni-Asia Grp,0.725,0.735 - 0.730,0.730,jan_25_2020,58.16M,78.60M,-,1.54M,0.02,-,SGD 0.73294,SGD 0.73289,14.345136054421769,0.3347031329538618,1.7962244897959183,0.347,5.518,4.429,489.78M,87.651,230.68M,334.22M,52.67M,0.966,1.142,-1.30M,-,169.18M,11.86M,13.780,4.02M,4.095,9.298,-25.696,29.56M,Real Estate / Real Estate Development & Operations / 
GL,0.800,0.800 - 0.795,0.800,jan_25_2020,"1,101.29M",1.37B,-,4.69M,0.04,-,SGD 0.7803,SGD 0.7803,16.95698113207547,2.372564376409161,15.010817610062892,0.892,2.733,2.672,"1,036.27M",19.483,"1,256.08M","1,368.10M",94.80M,3.148,1.812,-44.20M,-,470.04M,52.50M,16.710,40.15M,8.541,-5.355,-2.453,124.21M,"Cyclical Consumer Services / Hotels, Motels & Cruise Lines / "
JEP,0.225,0.240 - 0.230,0.230,jan_25_2020,99.13M,413.05M,-,19.22M,0.01,-,SGD 0.19902,SGD 0.19715,16.905,1.0028320312500003,7.544062500000002,1.727,-,-,39.24M,57.788,137.82M,112.14M,4.54M,4.414,5.228,-3.48M,-,86.92M,4.71M,10.517,5.72M,6.858,5.845,-10.267,15.43M,Industrial Goods / Aerospace & Defense / 
Spackman,0.018,0.017 - 0.016,0.016,jan_25_2020,20.50M,1.10B,-,281.41M,-0.00,-,SGD 0.01479,SGD 0.01479,-,0.8497993079584771,8.139176470588234,0.264,-,-,-2.42M,6.268,18.31M,67.55M,7.34M,-5.236,-1.526,-2.36M,-,27.03M,-0.64M,0.677,-1.29M,-5.121,-4.504,-,5.20M,Cyclical Consumer Services / Entertainment Production / 
Overseas Edu,0.355,0.360 - 0.350,0.355,jan_25_2020,151.61M,415.36M,-,5.65M,0.02,-,SGD 0.31313,SGD 0.31313,19.77645833333333,1.7989679783950616,7.440208333333333,1.104,7.534,5.244,91.41M,-,227.72M,305.28M,41.63M,4.728,2.566,-1.54M,-,81.93M,9.35M,11.870,7.56M,9.224,-5.052,-21.793,28.47M,Personal & Household Products & Services / Personal Services / 
A-Sonic Aero,0.380,0.410 - 0.410,0.410,jan_25_2020,25.15M,58.48M,-,0.64M,0.03,-,SGD 0.32022,SGD 0.32022,7.535121951219513,0.0755930993456276,4.484926829268293,0.653,2.326,-,-21.94M,2.088,-0.53M,73.59M,24.47M,5.486,3.239,-0.30M,-,286.43M,0.81M,1.108,3.09M,1.041,-3.904,-,5.06M,Transportation / Air Freight & Logistics / 
