code,com_name,price,turnover,market_cap,pe,dividend,yearhigh,yearlow,date_update,day_priceinc,day_perceninc,downside,upside
3360,FE HORIZON,5.99,21240000.0,23730000000.0,4.81,26.54,9.0,5.99,20/04/2020,-0.11,-1.8,0.0,0.5
2005,SSY GROUP,6.09,20920000.0,18460000000.0,16.22,26.54,9.0,6.09,20/04/2020,0.0,0.0,0.0,0.48
2168,KAISA PROSPER,27.75,20690000.0,3880000000.0,21.76,26.54,32.0,27.75,20/04/2020,0.65,2.4,0.0,0.15
2666,UNI MEDICAL,4.69,20610000.0,8039999999.999999,4.94,26.54,6.97,4.69,20/04/2020,0.01,0.21,0.0,0.49
1883,CITIC TELECOM,2.84,20440000.0,10390000000.0,10.31,26.54,3.5,2.84,20/04/2020,0.02,0.71,0.0,0.23
2357,AVICHINA,3.0,20320000.0,18730000000.0,12.45,26.54,4.83,3.0,20/04/2020,0.04,1.35,0.0,0.61
1252,CHINA TIANRUI,8.47,7240000.0,24880000000.0,12.53,0.0,8.79,8.47,20/04/2020,0.06,0.71,0.0,0.04
1666,TONG REN TANG,6.06,20220000.0,3800000000.0,17.01,26.54,11.32,6.06,20/04/2020,0.03,0.5,0.0,0.87
6865,FLAT GLASS,4.86,19970000.0,2180000000.0,11.97,26.54,7.62,4.86,20/04/2020,0.29,6.35,0.0,0.57
839,CHINA EDU GROUP,10.52,19900000.0,21250000000.0,32.25,26.54,13.56,10.52,20/04/2020,0.02,0.19,0.0,0.29
2772,ZHONGLIANG HLDG,5.66,19700000.0,20270000000.0,4.41,26.54,6.56,5.66,20/04/2020,0.01,0.18,0.0,0.16
877,O-NET TECH GP,5.04,19490000.0,4190000000.0000005,33.01,0.0,5.3,5.04,20/04/2020,0.09,1.82,0.0,0.05
1508,CHINA RE,0.92,19390000.0,6140000000.0,5.91,26.54,1.71,0.92,20/04/2020,0.0,0.0,0.0,0.86
347,ANGANG STEEL,2.05,19170000.0,2890000000.0,9.85,26.54,4.646,2.05,20/04/2020,-0.01,-0.49,0.0,1.27
1323,NEWTREE GROUP,0.56,19140000.0,1830000000.0,0.0,0.0,0.61,0.56,20/04/2020,0.0,0.0,0.0,0.09
1877,JUNSHI BIO-B,34.3,19100000.0,6260000000.0,0.0,0.0,36.15,34.3,20/04/2020,0.1,0.29,0.0,0.05
1463,C-LINK SQ,1.13,18980000.0,904000000.0,0.0,0.0,1.45,1.13,20/04/2020,-0.05,-4.24,0.0,0.28
460,SIHUAN PHARM,0.78,18810000.0,7380000000.0,0.0,26.54,2.22,0.78,20/04/2020,0.0,0.0,0.0,1.85
116,CHOW SANG SANG,7.72,18790000.0,5220000000.0,8.13,26.54,13.8,7.72,20/04/2020,-0.02,-0.26,0.0,0.79
1728,ZHENGTONGAUTO,1.19,18560000.0,2910000000.0,4.02,26.54,4.86,1.19,20/04/2020,0.04,3.48,0.0,3.08
