symbol,company,price,change,percen_change,volume,market_cap,sector,industry,pe_ratio,forward_pe,one_yr_tar,eps,day_high_low,div,yield,ex_div_date,div_pay_date,fifty_day_vol,year_high_low,beta
G,Genpact Limited Common Stock,$33.04,+0.99,3.09%,"1,761,290","6,284,243,650",Consumer Services,Professional Services,21.18,17.23,$44.00,$1.56,$33.13/$31.63,$0.39,1.26%,"Mar 6, 2020","Mar 18, 2020",,$45.20/$19.41,1
COLD,Americold Realty Trust Common Shares,$31.34,-0.47,1.48%,"2,598,372","6,276,512,101",Consumer Services,Real Estate Investment Trusts,130.58,25.86,$38.00,$0.24,$32.09/$31.27,$0.84,2.52%,"Mar 30, 2020","Apr 15, 2020",,$40.42/$23.30,1
BFAM,Bright Horizons Family Solutions Inc. Common Stock,$107.65,-1.68,1.54%,"910,725","6,265,209,869",Miscellaneous,Other Consumer Services,35.41,47.13,$135.00,$3.04,$109.95/$105.06,N/A,N/A,N/A,N/A,,$176.98/$64.23,1
OGE,OGE Energy Corp Common Stock,$31.27,+0.57,1.86%,"1,416,802","6,259,298,107",Public Utilities,Electric Utilities: Central,14.41,14.02,$33.50,$2.17,$31.49/$30.43,$1.55,5.05%,"Apr 8, 2020","Apr 30, 2020",,$46.43/$23.00,1
AIZ,"Assurant, Inc. Common Stock",$104.65,+3.40,3.36%,"438,583","6,251,346,656",Finance,Property-Casualty Insurers,18.2,10.76,$155.00,$5.75,$105.45/$101.33,$2.52,2.45%,"Feb 21, 2020","Mar 16, 2020",,$142.61/$76.27,1
ARGX,argenx SE American Depositary Shares,$146.08,+2.23,1.55%,"100,454","6,250,920,382",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,-17.87,$180.00,N/A,$146.37/$144.48,N/A,N/A,N/A,N/A,"154,423",$169.50/$103.75,1
RGA,"Reinsurance Group of America, Incorporated Common Stock",$101.29,+3.68,3.77%,"522,696","6,243,105,882",Finance,Life Insurance,7.43,7.47,$150.00,$13.63,$101.75/$97.36,$2.80,2.83%,"Feb 5, 2020","Feb 27, 2020",,$169.26/$55.39,1
RNR,RenaissanceRe Holdings Ltd. Common Stock,$141.13,-3.26,2.26%,"490,614","6,225,820,252",Finance,Property-Casualty Insurers,8.62,9.97,$188.50,$16.38,$146.61/$139.75,$1.40,0.94%,"Mar 12, 2020","Mar 31, 2020",,$202.68/$113.27,1
ASND,Ascendis Pharma A/S American Depositary Shares,$129.50,+2.61,2.06%,"339,921","6,214,165,892",Health Care,Major Pharmaceuticals,,-21.43,$171.00,$-5.28,$130.64/$122.62,N/A,N/A,N/A,N/A,"230,512",$145.59/$90.06,1
ZNH,China Southern Airlines Company Limited Common Stock,$24.12,+0.27,1.13%,"33,003","6,211,318,675",Transportation,Air Freight/Delivery Services,14.44,11.14,N/A,$1.67,$24.23/$23.81,$0.308,1.32%,"Jun 28, 2019","Aug 5, 2019",,$44.63/$18.45,1
MTN,"Vail Resorts, Inc. Common Stock",$153.94,-2.39,1.53%,"210,117","6,207,020,436",Consumer Services,Services-Misc. Amusement & Recreation,21.09,39.18,$190.00,$7.30,$156.89/$153.09,$7.04,4.51%,"Mar 25, 2020","Apr 9, 2020",,$255.37/$125.00,1
ARMK,Aramark Common Stock,$24.57,+1.48,6.41%,"2,142,437","6,198,221,271",Consumer Services,Restaurants,18.07,26.24,$37.50,$1.36,$24.86/$23.17,$0.44,1.91%,"Feb 12, 2020","Feb 27, 2020",,$47.22/$9.65,1
SDPNF,Sime Darby Plantation Bhd,$0.90,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
CBSH,"Commerce Bancshares, Inc. Common Stock",$55.25,-0.29,0.52%,"463,893","6,192,803,546",Finance,Major Banks,15.4,21.95,$54.00,$3.59,$56.63/$54.55,$1.08,1.97%,"Jun 4, 2020","Jun 22, 2020","701,889",$71.92/$45.51,1
TXT,Textron Inc. Common Stock,$27.03,-0.79,2.84%,"1,780,388","6,153,257,730",Capital Goods,Aerospace,7.7,12.20,$34.00,$3.51,$28.31/$26.95,$0.08,0.3%,"Mar 12, 2020","Apr 1, 2020",,$54.84/$20.26,1
WSO,"Watsco, Inc. Common Stock",$160.50,+8.99,5.93%,"483,695","6,144,391,647",Consumer Durables,Industrial Machinery/Components,25.72,26.12,$150.00,$6.24,$162.21/$151.14,$7.10,4.76%,"Apr 14, 2020","Apr 30, 2020",,$186.87/$132.97,1
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),$3.91,-0.63,13.88%,"2,607,055","6,134,519,858",Public Utilities,Electric Utilities: Central,N/A,N/A,N/A,N/A,$4.23/$3.64,$0.016,0.33%,"Dec 11, 2019","Dec 18, 2019",,$11.69/$2.96,1
STNE,StoneCo Ltd. Class A Common Shares,$22.08,-1.10,4.75%,"4,581,553","6,124,108,049",Technology,EDP Services,30.25,36.79,$32.00,$0.73,$23.20/$21.37,N/A,N/A,N/A,N/A,"3,662,877",$46.69/$17.72,1
DXSPF,Dexus Property Gr,$5.61,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
PEGA,Pegasystems Inc. Common Stock,$76.78,+0.58,0.76%,"493,577","6,116,096,708",Technology,EDP Services,,-96.46,$105.00,$-1.15,$78.09/$75.31,$0.12,0.16%,"Mar 31, 2020","Apr 15, 2020","524,960",$103.13/$38.01,1
FBHS,"Fortune Brands Home & Security, Inc. Common Stock",$43.72,-0.08,0.18%,"1,317,624","6,107,955,895",Basic Industries,Homebuilding,14.29,13.56,$49.00,$3.06,$44.31/$42.95,$0.96,2.23%,"Feb 27, 2020","Mar 18, 2020",,$73.28/$33.90,1
GNRC,Generac Holdlings Inc. Common Stock,$97.55,+0.58,0.6%,"619,057","6,103,462,064",Consumer Durables,Metal Fabrications,24.15,21.50,$110.00,$4.04,$99.67/$97.12,N/A,N/A,N/A,N/A,,$118.86/$54.12,1
CACI,"CACI International, Inc. Class A Common Stock",$243.39,+3.49,1.45%,"107,845","6,102,205,201",Technology,EDP Services,23.36,19.32,$275.00,$10.42,$243.85/$236.30,N/A,N/A,N/A,N/A,,$288.59/$156.15,1
KNX,Knight-Swift Transportation Holdings Inc.,$35.88,+0.56,1.59%,"1,837,872","6,091,520,326",Transportation,Trucking Freight/Courier Services,21.48,18.89,$40.00,$1.67,$36.12/$35.31,$0.32,0.91%,"Mar 2, 2020","Mar 27, 2020",,$40.46/$27.03,1
IMMU,"Immunomedics, Inc. Common Stock",$28.44,+2.26,8.63%,"6,743,226","6,084,155,122",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,,-15.77,$37.00,$-1.85,$28.96/$26.23,N/A,N/A,N/A,N/A,"4,792,586",$29.67/$8.80,1
OHI,"Omega Healthcare Investors, Inc. Common Stock",$26.82,-1.32,4.69%,"3,111,209","6,083,040,526",Consumer Services,Real Estate Investment Trusts,16.97,9.64,$31.00,$1.58,$27.55/$26.48,$2.68,9.45%,"Apr 29, 2020","May 15, 2020",,$45.22/$13.33,1
CAKFF,McKesson Europe AG,$29.91,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
RGEN,Repligen Corporation Common Stock,$116.43,+3.28,2.9%,"494,072","6,064,089,240",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),264.61,107.76,$113.50,$0.44,$119.23/$113.59,N/A,N/A,N/A,N/A,"612,337",$115.37/$55.44,1
SMAR,Smartsheet Inc. Class A Common Stock,$50.99,+1.95,3.98%,"1,034,130","6,059,316,392",Technology,Computer Software: Prepackaged Software,,-42.28,$49.50,$-0.85,$52.13/$49.22,N/A,N/A,N/A,N/A,,$55.79/$30.91,1
CZR,Caesars Entertainment Corporation Common Stock,$8.87,+0.805,9.98%,"24,945,093","6,051,723,600",Consumer Services,Hotels/Resorts,,-25.20,$11.00,$-1.77,$9.04/$8.32,N/A,N/A,N/A,N/A,"24,370,166",$14.73/$3.22,1
ARKAY,Arkema S.A. ADR (Sponsored),$79.20,+1.88,2.43%,"3,111",N/A,N/A,N/A,N/A,N/A,N/A,N/A,$80.26/$78.04,N/A,N/A,N/A,N/A,0,N/A,
